Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,PartNumber,LCSCStockCode,JLCPCBRotation,JLC
1,Unpolarized capacitor,C,C10,3.3nF,C_0805_2012Metric,1, ,~,CL21B332KBANNNC,C53175,,
2,Unpolarized capacitor,C,C8 C9,10nF,C_0805_2012Metric,2, ,~,CL21B103KBANNNC,C1710,,
3,Unpolarized capacitor,C,C3 C4 C12 C13,100nF,C_0805_2012Metric,4, ,,CC0805KRX7R9BB104,C49678,,
4,Unpolarized capacitor,C,C1 C2 C7,1uF,C_0805_2012Metric,3, ,~,CL21B105KBFNNNE,C28323,,
5,Unpolarized capacitor,C,C5,1uF,C_1206_3216Metric,1, ,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf,CL31B105KCHNNNE,C13832,,
6,Unpolarized capacitor,C,C11,47uF,C_1210_3225Metric,1, ,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER61C476KE15-01.pdf,GRM32ER61C476KE15L,C77101,,
7,Unpolarized capacitor,C,C6 C14,100nF 100V,C_0805_2012Metric,2, ,https://datasheet.lcsc.com/szlcsc/2008131833_KEMET-C0805C104K1RECAUTO_C696367.pdf,C0805C104K1RECAUTO,C696367,,
8,Schottky diode,D_Schottky,D1,400V 1A 1.3V @ 1A 150ns SMA,D_SMA,1, ,https://datasheet.lcsc.com/szlcsc/1810170425_Diodes-Incorporated-RS1G-13-F_C85103.pdf,RS1G-13-F,C85103,,
9,Light emitting diode,LED,D2,GREEN,LED_0805_2012Metric,1, ,~,,C2297,,
10,Light emitting diode,LED,D3,RED,LED_0805_2012Metric,1, ,~,,C84256,,
11,"Resettable fuse, polymeric positive temperature coefficient",Polyfuse,F1,Through Hole PTC,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,1, ,https://datasheet.lcsc.com/szlcsc/1912111437_Jinrui-Electronic-Materials-Co-JK250-120U_C369130.pdf,JK250-100U,C2680606,,
12,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08_Male,J3,Debug/UPDI,PinHeader_1x08_P2.54mm_Vertical,1, ,~,,,,
13,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x02,J6,ScrewTerminal,Terminal-Block_3.81_2P-LCSC_C395878,1, ,https://datasheet.lcsc.com/szlcsc/1912111437_DIBO-DB125-3-81-2P-GN_C395878.pdf,,C395878,,
14,"Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Screw_Terminal_01x04,J4 J5,Screw_Terminal_01x04,Terminal-Block_3.81_4P_LCSC_C395880,2, ,,,C395880,,
15,Inductor,L,L1,1mH,L_TDK_SLF7045,1, ,,SLF7045T-102MR14-PF,C91523,,
16,Resistor,R,R1 R2,10R,R_0805_2012Metric,2, ,~,0805W8F100JT5E,C17415,,
17,Resistor,R,R12,120R,R_0805_2012Metric,1, ,~,0805W8F1200T5E,C17437,,
18,Resistor,R,R8 R14 R15,330R,R_0805_2012Metric,3, ,~,0805W8F3300T5E,C17630,,
19,Resistor,R,R16,470R,R_0805_2012Metric,1, ,~,0805W8F4700T5E,C17710,,
20,Resistor,R,R9 R10,4k7,R_0805_2012Metric,2, ,~,0805W8F4701T5E,C17673,,
21,Resistor,R,R6 R7 R13,10k,R_0805_2012Metric,3, ,~,0805W8F1002T5E,C17414,,
22,Resistor,R,R11,100K,R_0805_2012Metric,1, ,~,0805W8F1003T5E,C17407,,
23,Resistor,R,R4,150k,R_0805_2012Metric,1, ,~,0805W8F1503T5E,C17470,,
24,Resistor,R,R5,470k,R_0805_2012Metric,1, ,~,0805W8F4703T5E,C17709,,
25,Resistor,R,R3,680k,R_0805_2012Metric,1, ,~,0805W8F6803T5E,C17797,,
26,"2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW_DIP_x02,SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,1, ,https://datasheet.lcsc.com/szlcsc/2004251705_Korean-Hroparts-Elec-DS-02BP_C458081.pdf,,C458081,,
27,"Isolated RS485/RS422 Transceiver, Half-Duplex, 500kbps, SOIC-16W",ADM2483xRW,U4,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf,ADM2483BRWZ-REEL,C9637,,
28,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-14",ATtiny1614-SS,U2,ATtiny1614-SS,SOIC-14_3.9x8.7mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf,ATTINY1614-SSNR,C481364,,
29,"High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-36V) with I2C Compatible Interface, VSSOP-10",INA226,U3,INA228,VSSOP-10_3x3mm_P0.5mm,1, ,https://www.ti.com/lit/ds/symlink/ina228.pdf,INA228,,,
30,"LM5009A 100-V, 150-mA Constant ON-Time Buck Switching Regulator",LM5009A,U5,LM5009A,MSOP-8_3x3mm_P0.65mm,1, ,https://www.ti.com/lit/ds/symlink/lm5009a.pdf,LM5009AMMX/NOPB,C477978,,
31,"Form A, Solid State Relay (Photo MOSFET) 60V, 0.2A, 10Ohm, SO-4",ASSR-1218,U1,TLP172GM,SO-4_4.4x3.6mm_P2.54mm,1, ,https://datasheet.lcsc.com/szlcsc/TOSHIBA-TLP172GM-TPL-E-O_C261926.pdf,TLP172GM,C261926,,
