Reference, Quantity, Value, Footprint, Datasheet, LCSCStockCode, PartNumber
C1 C2 C7 C16 ,4,"1uF","Capacitor_SMD:C_0805_2012Metric","~","C28323","CL21B105KBFNNNE"
C10 ,1,"3.3nF","Capacitor_SMD:C_0805_2012Metric","~","C53175","CL21B332KBANNNC"
C11 ,1,"47uF","Capacitor_SMD:C_1210_3225Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER61C476KE15-01.pdf","C77101","GRM32ER61C476KE15L"
C3 C4 C12 C13 C15 C17 ,6,"100nF","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
C5 ,1,"1uF","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf","C13832","CL31B105KCHNNNE"
C6 C14 ,2,"100nF 100V","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/2008131833_KEMET-C0805C104K1RECAUTO_C696367.pdf","C696367","C0805C104K1RECAUTO"
C8 C9 ,2,"10nF","Capacitor_SMD:C_0805_2012Metric","~","C1710","CL21B103KBANNNC"
D1 ,1,"400V 1A 1.3V @ 1A 150ns SMA","Diode_SMD:D_SMA","https://datasheet.lcsc.com/szlcsc/1810170425_Diodes-Incorporated-RS1G-13-F_C85103.pdf","C85103","RS1G-13-F"
D2 ,1,"GREEN","LED_SMD:LED_0805_2012Metric","~","C2297",""
D3 ,1,"RED","LED_SMD:LED_0805_2012Metric","~","C84256",""
F1 ,1,"Through Hole PTC","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","https://datasheet.lcsc.com/szlcsc/1912111437_Jinrui-Electronic-Materials-Co-JK250-120U_C369130.pdf","C2680606","JK250-100U"
J1 J2 ,2,"Connection","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~"
J3 ,1,"Debug/UPDI","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","C124381",""
J4 J7 ,2,"Screw_Terminal_01x04","CurrentShuntCircuit:Terminal-Block_3.81_4P_LCSC_C395880","","C395880",""
J6 ,1,"ScrewTerminal","CurrentShuntCircuit:Terminal-Block_3.81_2P-LCSC_C395878","https://datasheet.lcsc.com/szlcsc/1912111437_DIBO-DB125-3-81-2P-GN_C395878.pdf","C395878",""
JP1 ,1,"SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
L1 ,1,"1mH","Inductor_SMD:L_TDK_SLF7045","","C91523","SLF7045T-102MR14-PF"
R1 R2 ,2,"10R","Resistor_SMD:R_0805_2012Metric","~","C17415","0805W8F100JT5E"
R11 ,1,"100K","Resistor_SMD:R_0805_2012Metric","~","C17407","0805W8F1003T5E"
R13 R16 R17 R18 ,4,"470R","Resistor_SMD:R_0805_2012Metric","~","C17710","0805W8F4700T5E"
R20 ,1,"120R","Resistor_SMD:R_0805_2012Metric","~","C17437","0805W8F1200T5E"
R9 R10 R12 R19 R21 ,5,"4k7","Resistor_SMD:R_0805_2012Metric","~","C17673","0805W8F4701T5E"
R3 ,1,"680k","Resistor_SMD:R_0805_2012Metric","~","C17797","0805W8F6803T5E"
R4 ,1,"150k","Resistor_SMD:R_0805_2012Metric","~","C17470","0805W8F1503T5E"
R5 ,1,"470k","Resistor_SMD:R_0805_2012Metric","~","C17709","0805W8F4703T5E"
R6 R7 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~","C17414","0805W8F1002T5E"
R8 R14 R15 ,3,"330R","Resistor_SMD:R_0805_2012Metric","~","C17630","0805W8F3300T5E"
SW1 ,1,"SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","https://datasheet.lcsc.com/szlcsc/2004251705_Korean-Hroparts-Elec-DS-02BP_C458081.pdf","C458081",""
U1 ,1,"TLP172GM","Package_SO:SO-4_4.4x3.6mm_P2.54mm","https://datasheet.lcsc.com/szlcsc/TOSHIBA-TLP172GM-TPL-E-O_C261926.pdf","C261926","TLP172GM"
U2 ,1,"ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf","C481364","ATTINY1614-SSNR"
U3 ,1,"INA228","Package_SO:VSSOP-10_3x3mm_P0.5mm","https://www.ti.com/lit/ds/symlink/ina228.pdf","C2887910","INA228"
U5 ,1,"LM5009A","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/lm5009a.pdf","C477978","LM5009AMMX/NOPB"
U6 ,1,"SP485EEN-L/TR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/2104081903_MaxLinear-SP485EEN-L-TR_C6855.pdf","C6855","SP485EEN-L/TR"
U4 U7 U8 ,3,"6N137S(TA)","CurrentShuntCircuit:SMD-8_9.76x6.6x2.54P","https://datasheet.lcsc.com/lcsc/1811091924_Everlight-Elec-6N137S-TA_C16496.pdf","C16496",""